,Name,Full Address,Lat,Lng
0,Waterchase,"401 Rosery Rd., NE Largo FL 33770",27.9261,-82.7826
1,Sundance at Clermont,1601 Johns Lake Rd. Clermont FL 34711,28.5256,-81.7279
2,Edgewater,514 That Way Lake Jackson TX 77566,29.0533,-95.4488
3,Reflections,205 SW 75th St. Gainesville FL 32607,29.6502,-82.4216
4,The Hollows,7520 Potranco Rd. San Antonio TX 78251,29.4525,-98.6355
5,La Mirage,8050 Oakdell Way San Antonio TX 78240,29.5158,-98.5993
6,Bandera Crossing,9821 Camino Villa San Antonio TX 78254,29.5385,-98.6537
7,Vista Crossing,1110 Vista Valet San Antonio TX 78216,29.5583,-98.5096
8,Summit of Thousand Oaks,1550 Thousand Oaks San Antonio TX 78232,29.5913,-98.4697
9,Toscana at Sonterra,19275 Stone Oak Pkwy. San Antonio TX 78258,29.6305,-98.4966
10,Park at Woodlake,9545 Ella Lee Ln. Houston TX 77063,29.7399,-95.5332
11,Bear Creek Crossing,5535 Timber Creek Place Dr. Houston TX 77084,29.8574,-95.6418
12,Willow Brook Crossing,7150 Smiling Wood Ln. Houston TX 77086,29.9166,-95.4933
13,Oakleaf Plantation,250 Cherry Ridge Dr Jacksonville FL 32222,30.1917,-81.8325
14,Cypress Creek,14355 Cornerstone Village Dr. Houston TX 77014,29.9863,-95.4831
15,North Bend,14131 Cornerstone Village Dr. Houston TX 77014,29.9862,-95.4818
16,San Martin,22910 Imperial Valley Drive Houston TX 77073,30.0289,-95.4206
17,Mira Bella Apartments,22921 Imperial Valley Drive Houston TX 77073,30.0293,-95.4219
18,Wynnfield Lakes,12337 Wynnfield Lakes Dr Jacksonville FL 32246,30.3136,-81.4921
19,Angel Landing,9885 North Loop Road Pensacola FL 32507,30.3535,-87.3536
20,Angel Cove,9890 North Loop Road Pensacola FL 32507,30.3559,-87.3552
21,SOCO,6300 S. Congress Ave. Austin TX 78745,30.1983,-97.7771
22,Grande View Apartments,151 Grande View Drive Biloxi MS 39531,30.3952,-88.9833
23,Chez Elan Apartment Homes,317 Racetrack Road NW Fort Walton Beach FL 32547,30.4481,-86.6286
24,Westdale Pointe,7117 Wood Hollow Dr. Austin TX 78731,30.3549,-97.7522
25,Westdale Parke,3543 Greystone Dr. Austin TX 78731,30.3570,-97.7519
26,Westdale Creek,7630 Wood Hollow Dr. Austin TX 78731,30.3616,-97.7503
27,Longspur Crossing,701 W. Longspur Blvd. Austin TX 78753,30.3671,-97.6939
28,On The Green,12007 N. Lamar Blvd. Austin TX 78753,30.3931,-97.6797
29,Walnut Creek Crossing,2000 Cedar Bend Dr. Austin TX 78758,30.4096,-97.6980
30,Wind River Crossing,11411 Research Blvd. Austin TX 78759,30.4115,-97.7442
31,Hunters Chase,12342 Hunters Chase Dr. Austin TX 78729,30.4426,-97.7722
32,Greenbrier Park,2405 S. 13th St. Temple TX 76504,31.0751,-97.3564
33,Bridgemoor at Killeen Apartments,2710 Cunningham Rd. Killeen TX 76542,31.0850,-97.7113
34,Woodbridge Crossing,202 Woodbridge Boulevard Temple TX 76504,31.1118,-97.3833
35,Heritage Square,1700 Breezy Dr. Waco TX 76712,31.4769,-97.2185
36,Garden Place,1106 Hooks Drive Waco TX 76705,31.6298,-97.0968
37,Sherwood Forest,1106 Hooks Dr. Waco TX 76705,31.6298,-97.0968
38,Broadstone Apartments,2720 South Broadway Tyler TX 75701,32.3197,-95.3003
39,Stone Canyon,8911 Youree Dr. Shreveport LA 71115,32.4174,-93.7013
40,Laurel Parc,8601 Millicent Way Shreveport LA 71115,32.4234,-93.7108
41,Orleans Square,8525 Chalmette Dr. Shreveport LA 71115,32.4235,-93.6959
42,Brandywine,8510 Millicent Way Shreveport LA 71115,32.4249,-93.7118
43,Ultris Island Park,1105 Island Park Blvd Shreveport LA 71105,32.4669,-93.6882
44,Mission Village,400 John Wesley Blvd. Bossier City LA 71112,32.5153,-93.7064
45,600 Baylor,600 Baylor Dr. Longview TX 75601,32.5105,-94.7455
46,Regency Park Apartments,701 Gilmer Road Longview TX 75604,32.5130,-94.7695
