id,service_property_id,community_id,name,latitude,longitude
76,16271738,3,Archer Tower,34.0701777,-118.3550137
26,16861450,1,Westlake,37.8041061,-122.2634885
57,16870312,3,Archer Tower,34.0701777,-118.3550137
33,17023918,3,Archer Tower,34.0701777,-118.3550137
34,17024446,3,Archer Tower,34.0701777,-118.3550137
35,17024476,3,Archer Tower,34.0701777,-118.3550137
42,17046361,3,Archer Tower,34.0701777,-118.3550137
44,17095270,3,Archer Tower,34.0701777,-118.3550137
48,17124674,3,Archer Tower,34.0701777,-118.3550137
50,17188613,3,Archer Tower,34.0701777,-118.3550137
52,17205557,3,Archer Tower,34.0701777,-118.3550137
55,17222982,3,Archer Tower,34.0701777,-118.3550137
58,17408672,3,Archer Tower,34.0701777,-118.3550137
60,17507667,3,Archer Tower,34.0701777,-118.3550137
66,17555071,3,Archer Tower,34.0701777,-118.3550137
70,17623337,3,Archer Tower,34.0701777,-118.3550137
72,17650507,3,Archer Tower,34.0701777,-118.3550137
53,17736333,3,Archer Tower,34.0701777,-118.3550137
56,18008948,3,Archer Tower,34.0701777,-118.3550137
78,18209451,3,Archer Tower,34.0701777,-118.3550137
83,18491774,3,Archer Tower,34.0701777,-118.3550137
79,18503556,3,Archer Tower,34.0701777,-118.3550137
80,18545690,5,Altitude,39.7308383,-104.9854251
86,18566945,5,Altitude,39.7308383,-104.9854251
87,18627747,5,Altitude,39.7308383,-104.9854251
90,18748542,3,Archer Tower,34.0701777,-118.3550137
93,18808179,5,Altitude,39.7308383,-104.9854251
100,18875597,6,Via Vista,44.0500693,-123.0965634
102,18876315,6,Via Vista,44.0500693,-123.0965634
104,18876934,3,Archer Tower,34.0701777,-118.3550137
105,18894164,6,Via Vista,44.0500693,-123.0965634
95,19386179,3,Archer Tower,34.0701777,-118.3550137
120,19732697,3,Archer Tower,34.0701777,-118.3550137
121,19733015,3,Archer Tower,34.0701777,-118.3550137
122,19735378,1,Westlake,37.8041061,-122.2634885
123,19781920,3,Archer Tower,34.0701777,-118.3550137
131,19891977,3,Archer Tower,34.0701777,-118.3550137
135,20032801,11,The Fairways,40.7660955,-111.9045936
136,20051564,6,Via Vista,44.0500693,-123.0965634
139,20069064,12,Rock Ridge,35.2661287,-106.6985668
140,20072243,12,Rock Ridge,35.2661287,-106.6985668
141,20072451,12,Rock Ridge,35.2661287,-106.6985668
143,20088714,12,Rock Ridge,35.2661287,-106.6985668
45,3906455,3,Archer Tower,34.0701777,-118.3550137
43,6292940,3,Archer Tower,34.0701777,-118.3550137
